Site,CalculatedOffset_in,GlobalOffset_in,FinalOffset_in
MS4-CAR-059,0.15,0.0,0.15
MS4-CAR-070,-4.85,0.0,-4.85
MS4-CAR-070E,-1.2,0.0,-1.2
MS4-CAR-072,-4.78,0.0,-4.78
MS4-CAR-072C,-2.76,0.0,-2.76
MS4-CAR-072Q,-3.2,0.0,-3.2
MS4-CAR-072R,-1.5,0.0,-1.5
MS4-SDG-072,-6.58,0.0,-6.58
MS4-SDG-072F,-1.8,0.0,-1.8
MS4-SDG-084,-3.59,0.0,-3.59
MS4-SDG-084J,-1.97,0.0,-1.97
MS4-SDG-085,-4.0,0.0,-4.0
MS4-SDG-085G,-4.24,0.0,-4.24
MS4-SDG-085M,-6.02,0.0,-6.02
MS4-SDR-036,-3.19,0.0,-3.19
MS4-SDR-041,-3.7,0.0,-3.7
MS4-SDR-064,-1.57,0.0,-1.57
MS4-SDR-064A,-4.63,0.0,-4.63
MS4-SDR-098,-2.1,0.0,-2.1
MS4-SDR-127,-4.2,0.0,-4.2
MS4-SDR-130,-6.6,0.0,-6.6
MS4-SDR-203A,-3.95,0.0,-3.95
MS4-SDR-204A,-1.64,0.0,-1.64
MS4-SDR-768,-3.25,0.0,-3.25
MS4-SLR-045,-5.06,0.0,-5.06
MS4-SLR-045A,-5.9,0.0,-5.9
MS4-SLR-045B,-1.51,0.0,-1.51
MS4-SLR-156,-2.9,0.0,-2.9
MS4-SLR-160,-4.95,0.0,-4.95
MS4-SLR-160A,-1.6,0.0,-1.6
MS4-SWT-030,-3.4,0.0,-3.4
MS4-SWT-049,-4.2,0.0,-4.2
MS4-SDG-074,,,
MS4-SDG-074F,,,
MS4-SDG-074K,,,
MS4-SDG-077,,,
MS4-SDG-077E,,,
MS4-SDG-080,,,
MS4-SDG-577,,,
MS4-SDG-579,,,
MS4-SMG-015,,,
MS4-SMG-021,,,
MS4-SMG-062,,,
MS4-SMG-062D,,,
MS4-SMG-098,,,
